id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
2021-04-06-9,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,41820,21.6,,,,300
2021-04-07-10,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,62760,23.048780487804876,,,,300
2021-04-07-11,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,26325,23.076923076923077,,,,300
2021-04-07-6,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,empty,1,43950,11.666666666666666,43950,11.666666666666666,0,0.006000041961669922
2021-04-07-6,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,43950,11.666666666666666,,,,300
2021-04-07-7,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,57075,33.214285714285715,,,,300
2021-04-07-8,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,empty,1,58110,36.09375,58110,36.09375,0,0.02899956703186035
2021-04-07-8,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,58110,36.09375,,,,300
2021-04-07-9,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,59310,31.296296296296298,,,,300
2021-04-08-10,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,empty,1,36840,7,36840,7,0,0.002000093460083008
2021-04-08-10,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,36840,7,,,,300
2021-04-08-11,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,18600,13.043478260869565,,,,300
2021-04-08-6,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,63420,28.085106382978722,,,,300
2021-04-08-7,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,63855,36.19047619047619,,,,300
2021-04-08-8,calculate_avg_wait_time,0.005,0.01,MOVE_PROC,timeout,,67275,35.55555555555556,,,,300
