id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
828,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1589,30.285714285714285,,,,300
384,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,11409,220.21428571428572,11413,220.35714285714286,0,7.91835355758667
37,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1018,13.0,,,,300
842,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,3601,66.6875,3601,66.6875,0,0.7727468013763428
663,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,5920,207.8421052631579,,,,300
429,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,829,8.333333333333334,,,,300
920,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1655,32.57142857142857,,,,300
521,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,1027,16.875,1029,16.9375,0,3.3067283630371094
151,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,2149,25.3125,,,,300
997,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,5154,48.86666666666667,5166,48.86666666666667,0,23.889346837997437
216,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,675,35.666666666666664,675,35.666666666666664,0,0.0350494384765625
807,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1434,75.6,,,,300
693,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1668,38.6,,,,300
114,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,6517,99.05555555555556,6525,99.05555555555556,0,4.197793006896973
744,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1307,57.857142857142854,,,,300
623,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,1126,33.92307692307692,1130,34.07692307692308,0,0.2943434715270996
238,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1398,35.92307692307692,,,,300
325,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,1275,20.666666666666668,1273,20.666666666666668,0,209.72306156158447
697,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,3056,61.38461538461539,,,,300
803,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,3537,79.44444444444444,,,,300
9,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,822,35.0,,,,300
740,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,7573,312.57894736842104,,,,300
971,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,6896,156.53333333333333,6930,156.33333333333334,0,135.63818860054016
667,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,1916,41.53846153846154,,,,300
54,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,1086,13.333333333333334,1082,17.0,0,195.39954113960266
33,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,4947,49.76470588235294,,,,300
155,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,5643,158.0625,,,,300
924,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,506,45.2,,,,300
748,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,2372,32.07692307692308,,,,300
502,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,3686,41.45454545454545,,,,300
372,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,3776,50.6875,3788,50.6875,0,1.2208168506622314
926,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,4788,43.0,4793,43.0,0,41.20007944107056
1,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,2721,57.15384615384615,,,,300
230,calculate_twct,0.005,0.01,SWAP_ALL_PROC,timeout,,8747,99.93333333333334,,,,300
590,calculate_twct,0.005,0.01,SWAP_ALL_PROC,empty,1,16126,273.75,16166,274.25,0,0.3164968490600586
