id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
281,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,11717,184.46153846153845,,,,300
164,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3075,49.375,3495,49.375,0,28.783058166503906
464,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2600,49.73684210526316,,,,300
653,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1305,60.875,1305,60.875,0,0.04738783836364746
269,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,643,13.5,643,13.5,0,0.9865875244140625
865,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5479,62.4,,,,300
726,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1729,48.8235294117647,,,,300
389,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5532,54.705882352941174,,,,300
895,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2076,29.11111111111111,,,,300
221,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,6923,143.4,6996,144.0,0,0.2621300220489502
700,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,5,922,49.166666666666664,1383,49.333333333333336,0.0,1.3751001358032227
601,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2090,34.4,,,,300
942,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1196,14.3,,,,300
550,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,205,1155,49.625,1710,49.5,0.0,60.03085732460022
875,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,3071,30.15,3181,30.05,0,139.08826398849487
133,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,8411,231.64285714285714,,,,300
949,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2783,36.833333333333336,2824,36.833333333333336,0,112.12087869644165
605,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6410,93.42105263157895,,,,300
41,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2566,104.18181818181819,,,,300
891,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1183,34.333333333333336,,,,300
598,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1104,43.25,,,,300
137,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,4602,147.8125,,,,300
21,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,4533,148.3846153846154,4594,147.76923076923077,0,22.2895290851593
946,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,14781,198.8,,,,300
946,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,14781,198.8,14805,199.0,0,0.1596851348876953
861,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1270,27.363636363636363,,,,300
425,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,9732,220.66666666666666,9734,219.73333333333332,0,18.402634620666504
722,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2402,74.1,,,,300
568,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,9211,54.8421052631579,,,,300
893,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2953,104.76470588235294,2957,104.88235294117646,0,0.08684730529785156
192,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,5862,109.41666666666667,5877,109.41666666666667,0,0.5133962631225586
375,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,27217,332.5,,,,300
49,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1851,77.4,,,,300
770,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2524,115.3125,2528,115.4375,0,0.07715201377868652
76,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,18068,346.6,18414,347.8,0,0.878302812576294
447,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5644,133.28571428571428,,,,300
385,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,8971,171.0,,,,300
911,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,219,12.333333333333334,219,12.333333333333334,0,0.14075493812561035
560,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5520,53.35294117647059,,,,300
345,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2086,51.78947368421053,2090,51.89473684210526,0,0.11594080924987793
869,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2552,49.11764705882353,,,,300
252,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,8643,104.44444444444444,,,,300
472,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,720,32.875,720,32.875,0,0.15981030464172363
564,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,803,17.75,,,,300
767,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,931,37.4,,,,0.3029944896697998
174,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2753,64.5,2761,64.5,0,0.19382929801940918
381,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1311,45.90909090909091,,,,300
643,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1358,31.125,1669,31.125,0,196.66743302345276
796,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,851,25.181818181818183,851,25.181818181818183,0,0.516883373260498
256,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,5842,73.81818181818181,,,,300
839,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,326,5.4,,,,3.8957724571228027
541,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,1027,38.7,1035,38.7,0,0.3385963439941406
371,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,4977,75.0,,,,300
594,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,1311,37.25,,,,300
799,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,7438,67.5,7440,67.5,0,51.666160583496094
822,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,4320,85.2,4324,85.33333333333333,0,1.0839178562164307
443,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6742,57.5,,,,300
